"semnig1" "semnig2" "ridge1" "lasso1" "xtune1" "ebridge1"
"pmse182" 0.832417345229463 0.832131553864244 0.866290707610899 0.854159610933796 0.833494577584158 0.857994280945743
"pmse183" 0.944577579378887 0.945158790943805 0.930002951133447 0.931412366968545 0.930339872859994 0.929305663871045
"pmse184" 0.882929969199336 0.882582033310392 0.901552739442887 0.937183070060959 0.901904818783215 0.895569232191557
"pmse185" 0.84029096880939 0.840193825718913 0.834191113490054 0.850790725131501 0.838183614255961 0.83838408656329
"pmse186" 0.8361890854142 0.836075665951817 0.815417382626152 0.819577978566366 0.820883479926709 0.820775692276337
"pmse187" 0.652312547485457 0.652153567967519 0.673897781330977 0.698394181338711 0.658863648009721 0.668674826514586
"pmse188" 0.971036262917409 0.970116189187893 0.940421550487671 0.95621154119303 0.952006760778116 0.943366058010066
"pmse189" 0.725958612663404 0.725009438131882 0.726870339727394 0.755609098915721 0.718504007045721 0.731871373175244
"pmse190" 0.639616735805204 0.638202244840641 0.640342753941418 0.677985423763869 0.631530222442156 0.646823064127223
"pmse191" 0.913132893821291 0.914268702281102 0.92017353519265 0.949067224678594 0.943251151769458 0.910015891671626
"pmse192" 0.88238817131208 0.880714178988655 0.869808400567102 0.913816880570478 0.887602211828518 0.879739536525318
"pmse193" 0.802225904645656 0.800654700109826 0.787615989701002 0.813425358992974 0.781579094824669 0.798770165662444
"pmse194" 0.917011970860833 0.917468511074164 0.902964375632532 0.915909605870824 0.898395069487242 0.90324715205296
"pmse195" 0.902929496714063 0.901582710409996 0.879521922765073 0.933511710817034 0.892018482702367 0.897279672254852
"pmse196" 0.646947961773823 0.644401868542004 0.748986953693775 0.656068399934606 0.653150681306003 0.74805396095897
"pmse197" 0.769328756392143 0.769648911283819 0.770929944471152 0.800768352606236 0.777441394278205 0.764545272410124
"pmse198" 0.840036949269677 0.840553519148045 0.862163290033856 0.905951530288412 0.86366210710099 0.855505802840688
"pmse199" 0.71819131830103 0.718495815177228 0.694790192668044 0.705976027723789 0.704553969155931 0.695795464084179
"pmse200" 0.80994194440221 0.809246063590962 0.814662462303693 0.833415667378132 0.813416638792551 0.820502379967489
"pmse201" 0.613400457904317 0.612492479479786 0.600007739179442 0.612004051639205 0.606330142087407 0.607618463353486
"pmse202" 0.688153986141954 0.687862113237896 0.685193965933467 0.714087017284591 0.681930707253256 0.686690911324707
"pmse203" 0.710631981574765 0.708466330865084 0.753791739990312 0.746258449417572 0.718266344674947 0.756814697567961
"pmse204" 0.790853147245036 0.791360856593463 0.789649784179591 0.793082268484053 0.817502395250686 0.786344822759328
"pmse205" 0.597268211903157 0.594126888539514 0.632070801575236 0.60063863519088 0.608976917320645 0.628479057990739
"pmse206" 0.685070869249889 0.686305795121333 0.711084965449147 0.684237863701022 0.692469310425561 0.698560815999486
"pmse207" 0.791186833389513 0.790656273036576 0.794436669432824 0.834972839372062 0.783464733820916 0.790513525235294
"pmse208" 0.774643608032016 0.774362678776526 0.768707658595922 0.808718990044023 0.768911594925098 0.774444446866458
"pmse209" 0.964832854696872 0.963380173230612 0.945741059701845 0.972722116864749 0.94783523389341 0.968101643178388
"pmse210" 0.754065875035908 0.753754984436505 0.735260560833134 0.754292439977951 0.748256106425513 0.744632140285143
"pmse211" 0.732381503267535 0.731705626808503 0.738574301799107 0.761257356809463 0.72887727634286 0.738020779563741
"pmse212" 0.945135577177792 0.945125922764846 0.931547896772562 0.928138107985431 0.928912164639819 0.928242447613002
"pmse213" 0.734870969348614 0.734064836980201 0.70759614965123 0.759899629742508 0.715154982075324 0.720883140140201
"pmse214" 0.631424418074107 0.63244529345742 0.624017727871947 0.644156902837204 0.648039811640353 0.622205397137332
"pmse215" 0.655121481316447 0.654307731895842 0.639660917749521 0.661797588890178 0.644322377600693 0.645288192255226
"pmse216" 0.95170943633749 0.952606580272422 0.930296905870795 0.963344471300933 0.927244836049681 0.93390073094641
"pmse217" 0.718353960293811 0.717939879710623 0.700405418929512 0.699381051468416 0.707581852503639 0.70395058904731
"pmse218" 0.525608600453836 0.525675936225167 0.558108750392301 0.53467312679873 0.533364694336156 0.551359709669797
"pmse219" 0.763919610165979 0.76277009730081 0.760826714577259 0.798915946950856 0.760675929277595 0.76621208027235
"pmse220" 0.644951355889591 0.645083546827759 0.635767668487627 0.645492927990422 0.632643560541986 0.639848900733797
"pmse221" 0.842866582938416 0.843340897645212 0.836546942745557 0.852583372151679 0.846089795787402 0.8349025266878
"pmse222" 0.746027583315932 0.746127062258211 0.738487894112689 0.771692419187348 0.740246715940258 0.738610433171704
"pmse223" 0.692257038053634 0.691599813207356 0.709250859467056 0.702624283415693 0.691215157663539 0.70733963022895
"pmse224" 0.803520055814753 0.803569088502687 0.806995673471132 0.829487142939594 0.79829524094568 0.806036260468822
"pmse225" 0.826649030018529 0.826406886888789 0.814603745772433 0.853078392846585 0.820672427652841 0.81710062899363
"pmse226" 0.947116260603823 0.947340460895972 0.924383863068555 0.93529463498567 0.927610177687515 0.931128211966154
"pmse227" 0.748821617869601 0.749049542228583 0.755165348851002 0.779603381890394 0.748469861236279 0.749231565349121
"pmse228" 0.5975879422591 0.596920093640244 0.594333138954025 0.606853486636789 0.583308098731292 0.60093314197071
"pmse229" 0.668801924184296 0.667657327162505 0.677717061319496 0.696674181879545 0.666247527250362 0.682723090311925
"pmse230" 0.771953101071536 0.770930917912172 0.759308261116079 0.795035741712485 0.773087640808424 0.770712865438013
"pmse231" 0.75158053664166 0.752631072581668 0.753012110715809 0.765008697396116 0.752807890531178 0.744817845326675
"pmse232" 0.896657864471141 0.897611457043752 0.888249241145154 0.907687125776654 0.897335518216683 0.889498502778052
"pmse233" 0.762265488925485 0.763378461734415 0.773200615343393 0.844739930160913 0.8037345083546 0.762284914985063
"pmse234" 0.83609195077308 0.835419836832491 0.837773284682191 0.858615829099038 0.830163636652054 0.840530165952414
"pmse235" 0.920489617225667 0.919867564417182 0.906052157534818 0.937401499883245 0.905126823691285 0.921842407919559
"pmse236" 0.672515605718856 0.671548216431564 0.686038619497498 0.718899102359502 0.66877960784182 0.685771684343968
"pmse237" 0.839732365766223 0.83964604720277 0.851635363327558 0.865892474085712 0.840290537756321 0.84656130786105
"pmse238" 0.887543959252485 0.890187994980903 0.881099887400502 0.90250751396839 0.888429450923572 0.866822862171853
"pmse239" 0.639277011419438 0.638844203161484 0.638705881954321 0.653206591972568 0.632934612718129 0.640314239224686
"pmse240" 0.630205206164345 0.630613269641481 0.631627137020992 0.654633220022245 0.635748291873861 0.628921005350377
"pmse241" 0.678533444956507 0.679492734435584 0.688656985423943 0.708818236726309 0.680298130108891 0.679824032225011
"pmse242" 0.842802113224144 0.843426859480773 0.834139229098484 0.8754049262659 0.840480963681898 0.833762014524813
"pmse243" 0.912500584965705 0.913189413515563 0.902537707589992 0.912363099948305 0.911448666661649 0.908058952628903
